model_family,status,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_balanced_accuracy,cv_mean_val_accuracy,cv_mean_val_macro_precision,cv_mean_val_macro_recall,cv_mean_val_macro_f1,cv_mean_val_weighted_f1,cv_mean_val_balanced_accuracy,cv_std_val_accuracy,cv_std_val_macro_precision,cv_std_val_macro_recall,cv_std_val_macro_f1,cv_std_val_weighted_f1,cv_std_val_balanced_accuracy,epochs_last_run,temporal_pair_count,temporal_pairs,removed_classes
hybrid_tcn_lstm,completed,0.9339242546333602,0.28031872249056616,0.26833053576535243,0.2618208114726399,0.8966002386758742,0.9339242546333602,0.9120385376634421,0.26833053576535243,,,,,,,,,,,,,12,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
ft_transformer_gru_attention,completed,0.9315068493150684,0.30155050612850604,0.2674252860141603,0.26241776844371134,0.8970986952007355,0.9315068493150684,0.9101673764295036,0.2674252860141603,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
xgboost_temporal_gru,completed,0.9333870534515176,0.28820408795324404,0.26907522944111895,0.2637043794817756,0.897124718466633,0.9333870534515176,0.9114613338759163,0.26907522944111895,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
deepfm_temporal_tcn,completed,0.9325812516787537,0.303158475335454,0.2661173486515722,0.25915768269427586,0.8980123365183201,0.9325812516787537,0.9103994658878922,0.2661173486515722,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
