model_family,status,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_balanced_accuracy,cv_mean_val_accuracy,cv_mean_val_macro_precision,cv_mean_val_macro_recall,cv_mean_val_macro_f1,cv_mean_val_weighted_f1,cv_mean_val_balanced_accuracy,cv_std_val_accuracy,cv_std_val_macro_precision,cv_std_val_macro_recall,cv_std_val_macro_f1,cv_std_val_weighted_f1,cv_std_val_balanced_accuracy,epochs_last_run,temporal_pair_count,temporal_pairs,removed_classes
hybrid_tcn_lstm,completed,0.9353746978243352,0.2788753900887322,0.2662747696579578,0.25704885199085936,0.9101729966840523,0.2662747696579578,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
ft_transformer_gru_attention,completed,0.9332796132151491,0.2635256544312419,0.26758144992827404,0.2604666817215766,0.9109504525329407,0.26758144992827404,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
xgboost_temporal_gru,completed,0.9318291700241741,0.27928565887952644,0.27213545470981093,0.2682308156961982,0.9119153723619806,0.27213545470981093,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
deepfm_temporal_tcn,completed,0.934085414987913,0.2509013005025791,0.2639793304675145,0.2538184804871269,0.9097847086883838,0.2639793304675145,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
