model_family,status,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_balanced_accuracy,cv_mean_val_accuracy,cv_mean_val_macro_precision,cv_mean_val_macro_recall,cv_mean_val_macro_f1,cv_mean_val_weighted_f1,cv_mean_val_balanced_accuracy,cv_std_val_accuracy,cv_std_val_macro_precision,cv_std_val_macro_recall,cv_std_val_macro_f1,cv_std_val_weighted_f1,cv_std_val_balanced_accuracy,epochs_last_run,temporal_pair_count,temporal_pairs,removed_classes
hybrid_tcn_lstm,completed,0.9998388396454472,0.9956140350877192,0.9894736842105264,0.9918637172641749,0.9998522696749932,0.9998388396454472,0.9998333897783851,0.9894736842105264,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
ft_transformer_gru_attention,completed,0.9998388396454472,0.9956140350877192,0.9894736842105264,0.9918637172641749,0.9998522696749932,0.9998388396454472,0.9998333897783851,0.9894736842105264,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
xgboost_temporal_gru,completed,0.9996776792908945,0.9919028340080972,0.9789473684210527,0.982456140350877,0.9997272670922953,0.9996776792908945,0.9996508192318022,0.9789473684210527,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
deepfm_temporal_tcn,completed,0.9998388396454472,0.9956140350877192,0.9894736842105264,0.9918637172641749,0.9998522696749932,0.9998388396454472,0.9998333897783851,0.9894736842105264,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
