epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.27268454812467097,0.9659701492537314,0.6969826625605535,0.6463157724623882,0.645558987196092,0.9669464680472479,0.6463157724623882,0.022446030978388435,1.0,1.0,1.0,1.0,1.0,1.0
2,0.011782923127010242,0.9997014925373134,0.999828840393667,0.9868421052631579,0.9923954838235653,0.999680413659946,0.9868421052631579,0.0038395398455803227,1.0,1.0,1.0,1.0,1.0,1.0
3,0.0042226651440193845,1.0,1.0,1.0,1.0,1.0,1.0,0.0015229030212249933,1.0,1.0,1.0,1.0,1.0,1.0
4,0.0023289376436107195,1.0,1.0,1.0,1.0,1.0,1.0,0.0010760209654401612,1.0,1.0,1.0,1.0,1.0,1.0
5,0.0014393835236777121,1.0,1.0,1.0,1.0,1.0,1.0,0.0007424195960395338,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0010977982278259943,1.0,1.0,1.0,1.0,1.0,1.0,0.0005354605649516686,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0008190495315105168,1.0,1.0,1.0,1.0,1.0,1.0,0.00038791758960719227,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0007821061374939311,1.0,1.0,1.0,1.0,1.0,1.0,0.00041695772404563706,1.0,1.0,1.0,1.0,1.0,1.0
