epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.7572012631649316,0.8540211355901844,0.2661528563234813,0.2568493385514396,0.2536500994902081,0.8541232537957572,0.2568493385514396,0.15490581409558773,0.9581320450885669,0.288092342507984,0.3157894736842105,0.2993629475717267,0.9392348578091061,0.3157894736842105
2,0.13545609420102364,0.9656098871574422,0.3544943661984023,0.3727200885095622,0.36203563705183545,0.9544568011551896,0.3727200885095622,0.10261428992049514,0.9758454106280193,0.40983278354168196,0.47368421052631576,0.43252874276565945,0.9661668660168288,0.47368421052631576
3,0.07805744372408342,0.9822675980655562,0.6375428797111791,0.5660579668889918,0.555513209589054,0.9769320807060173,0.5660579668889918,0.04659388783041406,0.9903381642512077,0.6771929824561403,0.7105263157894737,0.6803675856307435,0.9874907343506378,0.7105263157894737
4,0.03173872159692884,0.9948056600394053,0.79508683730567,0.7954116059379217,0.7915151247753662,0.9930530481850988,0.7954116059379217,0.019926456454091506,0.9967793880837359,0.8736842105263158,0.8947368421052632,0.8823956442831216,0.995357876617247,0.8947368421052632
5,0.01374386539327432,0.9985670786315601,0.9931164358444023,0.9230994152046785,0.9414532914238751,0.9983199302983852,0.9230994152046785,0.008452911816999292,0.998389694041868,0.9210526315789473,0.9473684210526315,0.9298245614035087,0.9978529253891574,0.9473684210526315
6,0.005239948710403668,1.0,1.0,1.0,1.0,1.0,1.0,0.00365239347146761,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0031471474294020416,1.0,1.0,1.0,1.0,1.0,1.0,0.0021163739647188386,1.0,1.0,1.0,1.0,1.0,1.0
8,0.00228842182016983,1.0,1.0,1.0,1.0,1.0,1.0,0.0015766344300505739,1.0,1.0,1.0,1.0,1.0,1.0
