epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.4174981972622557,0.9208641146183121,0.3465910497062758,0.32878246739636924,0.32041789968224593,0.9204803097234324,0.32878246739636924,0.08139602711268543,0.9788519637462235,0.45677202598322725,0.5,0.4651197365895679,0.9708273691527318,0.5
2,0.07056137571456997,0.9835460040295501,0.6457068154486033,0.5977536835582844,0.5917638005272073,0.9798964298210311,0.5977536835582844,0.0431878816548356,0.9909365558912386,0.6562560370195655,0.7344497607655502,0.6878739017182953,0.9875805344017613,0.7344497607655502
3,0.041282193201091805,0.9905977165883143,0.7841010251532573,0.7331302157839459,0.7304402960078744,0.9888771952878296,0.7331302157839459,0.02902621826839756,0.9919436052366566,0.68671679197995,0.7368421052631579,0.7017543859649124,0.9895938234306814,0.7368421052631579
4,0.025017231078274284,0.9933960152227446,0.8040050206210871,0.7918975904788871,0.7919292658182053,0.9922981403753025,0.7918975904788871,0.01589432845669653,0.9959718026183283,0.8398169336384439,0.8552631578947368,0.8369256474519633,0.9950382838600362,0.8552631578947368
5,0.013085956192375871,0.9967539735840609,0.9124995674185912,0.8904530631435182,0.8947629902206041,0.9965295125587924,0.8904530631435182,0.00853906676158204,0.9979859013091642,0.927536231884058,0.9210526315789473,0.9181286549707603,0.9974264294505987,0.9210526315789473
6,0.014921535034160473,0.996306245802552,0.9202815564075267,0.8942382358163002,0.9021621292012615,0.9960898924937251,0.8942382358163002,0.011167324989403843,0.9969788519637462,0.9684210526315788,0.9774436090225563,0.9630895420369106,0.9972142660964414,0.9774436090225563
7,0.008874165492327453,0.9980971569285875,0.9723419081507888,0.9553931350975972,0.9623635576870189,0.9980714674908737,0.9553931350975972,0.00842384950084094,0.9979859013091642,0.9649122807017545,0.9712918660287081,0.9589036014984607,0.9980199664033008,0.9712918660287081
8,0.009611735418295053,0.9970897694201926,0.9375380599812739,0.9219239631336403,0.9283563368186403,0.9970365970137597,0.9219239631336403,0.0038397293147459355,0.998992950654582,0.9894736842105264,0.9736842105263158,0.976608187134503,0.998881056282869,0.9736842105263158
