epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.7282799641409917,0.8576119402985075,0.24554227377531862,0.24647049878853233,0.24464432969149144,0.8580829747294677,0.24647049878853233,0.14535670221451946,0.9583892617449664,0.297541009630115,0.3333333333333333,0.31188865641412566,0.9403541339477391,0.3333333333333333
2,0.12212081538763508,0.968955223880597,0.5451668163364994,0.4053249186535388,0.4057963020569286,0.9579327426064612,0.4053249186535388,0.0693305246719478,0.9812080536912752,0.625273368606702,0.5925925925925927,0.590607529026478,0.9760511099259511,0.5925925925925927
3,0.05632533531191189,0.9865671641791045,0.7576872397361392,0.6406548318753283,0.6351968043453007,0.9827957748511784,0.6406548318753283,0.022166168731606047,0.9959731543624161,0.7925925925925925,0.8333333333333334,0.8083333333333333,0.9944295302013423,0.8333333333333334
4,0.025604126695821534,0.9952238805970149,0.8723716873275327,0.8301227333483787,0.8349137464619749,0.9941590851942417,0.8301227333483787,0.01006732528322945,0.9986577181208054,0.9166666666666666,0.9444444444444444,0.9259259259259258,0.9982102908277406,0.9444444444444444
5,0.010675815541241597,0.9986567164179104,0.9697877390702805,0.9453748006379584,0.9507092490309258,0.9985303652715511,0.9453748006379584,0.002839883619250617,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0053378173486510316,0.9997014925373134,0.9987175296099781,0.998631951056681,0.998674673448212,0.9997014317827109,0.998631951056681,0.002053189521730446,1.0,1.0,1.0,1.0,1.0,1.0
7,0.003465761604315754,1.0,1.0,1.0,1.0,1.0,1.0,0.0010296129391859942,1.0,1.0,1.0,1.0,1.0,1.0
8,0.002163321304607636,0.9998507462686567,0.9964912280701754,0.9996491228070175,0.998009092619682,0.9998530700206728,0.9996491228070175,0.0005365488824947118,1.0,1.0,1.0,1.0,1.0,1.0
