epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.5312535966639554,0.8950078352361764,0.28533769085461475,0.2821513524094557,0.2775189857042816,0.8899098863090193,0.2821513524094557,0.11036359090714416,0.9718026183282981,0.35339793982119516,0.42105263157894735,0.37568009522865825,0.9614382342366632,0.42105263157894735
2,0.07796855776845735,0.982986344302664,0.6829611669586081,0.5794197699413797,0.5785552264961117,0.9790023815368192,0.5794197699413797,0.033979711785428565,0.9959718026183283,0.8713032581453634,0.8421052631578947,0.8465828603128375,0.9947613721421681,0.8421052631578947
3,0.019999926419541295,0.9975374972017014,0.9284279464147254,0.8862781954887219,0.8998787045623454,0.99695857599817,0.8862781954887219,0.006608686904860933,0.998992950654582,0.9298245614035087,0.9473684210526315,0.9368421052631579,0.9985901309164149,0.9473684210526315
4,0.004541692563120167,1.0,1.0,1.0,1.0,1.0,1.0,0.0023964910471599927,1.0,1.0,1.0,1.0,1.0,1.0
5,0.002187623918503281,1.0,1.0,1.0,1.0,1.0,1.0,0.0009512906700179491,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0015583613398312882,1.0,1.0,1.0,1.0,1.0,1.0,0.0007411502608265034,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0010452020344915896,1.0,1.0,1.0,1.0,1.0,1.0,0.0005423207554817556,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0008272488393029292,1.0,1.0,1.0,1.0,1.0,1.0,0.0003718958281237099,1.0,1.0,1.0,1.0,1.0,1.0
