model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy,threshold_status
hybrid_tcn_lstm,0.6116035455278002,0.5381224766857058,0.3489135408627142,0.3873902090953789,0.593528538094794,0.6116035455278002,0.585116899285655,0.3489135408627142,accuracy_below_0_90_and_some_metrics_below_0_60
ft_transformer_gru_attention,0.6112006446414182,0.5517306426245272,0.3815692946309806,0.4201434457685518,0.5944160625307187,0.6112006446414182,0.5855081225822558,0.3815692946309806,accuracy_below_0_90_and_some_metrics_below_0_60
xgboost_temporal_gru,0.6063658340048348,0.4244736961952748,0.3187811754645308,0.3465746484579387,0.5789616555819823,0.6063658340048348,0.5786535674278566,0.3187811754645308,accuracy_below_0_90_and_some_metrics_below_0_60
deepfm_temporal_tcn,0.6059629331184528,0.5362971753264878,0.3626686201202792,0.4040580748009479,0.5884254135376484,0.6059629331184528,0.5797881540157286,0.3626686201202792,accuracy_below_0_90_and_some_metrics_below_0_60
