epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.2095321631248776,0.9742556525632415,0.7255478867127128,0.7142698514000703,0.711877121297964,0.9755318575692122,0.7142698514000703,0.008985664732078952,1.0,1.0,1.0,1.0,1.0,1.0
2,0.007067880256946706,1.0,1.0,1.0,1.0,1.0,1.0,0.002223666255809704,1.0,1.0,1.0,1.0,1.0,1.0
3,0.0025581811957740134,1.0,1.0,1.0,1.0,1.0,1.0,0.0010341413951950656,1.0,1.0,1.0,1.0,1.0,1.0
4,0.0014219016319447064,1.0,1.0,1.0,1.0,1.0,1.0,0.0006901710328771682,1.0,1.0,1.0,1.0,1.0,1.0
5,0.0009586126207913398,1.0,1.0,1.0,1.0,1.0,1.0,0.00046412700819192045,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0006354382116707613,1.0,1.0,1.0,1.0,1.0,1.0,0.000320294737017011,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0005167750769338268,1.0,1.0,1.0,1.0,1.0,1.0,0.00026429820052429676,1.0,1.0,1.0,1.0,1.0,1.0
8,0.00046044317788222625,1.0,1.0,1.0,1.0,1.0,1.0,0.0002345565431807584,1.0,1.0,1.0,1.0,1.0,1.0
