epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.5854996764331625,0.8832032749136497,0.3016122152575251,0.27033792917016025,0.2689401737867828,0.8790507714368063,0.27033792917016025,0.12047550902606531,0.9643268124280783,0.3846060622900887,0.36403508771929827,0.35767409520726356,0.9487201127841622,0.36403508771929827
2,0.09648514099517289,0.9764615581425099,0.5800848026280953,0.4934305336595893,0.4786051610526589,0.96963708526198,0.4934305336595893,0.05035860059296303,0.9907940161104718,0.6238095238095237,0.6842105263157895,0.648883387330114,0.9868854602568711,0.6842105263157895
3,0.03209302027969389,0.9951388000511705,0.9107836411380951,0.8194210330433241,0.8345240040636073,0.9940210915498982,0.8194210330433241,0.012056158814296315,0.997698504027618,0.8552631578947368,0.8947368421052632,0.8696741854636593,0.9968217436571867,0.8947368421052632
4,0.009278410576137151,0.9993603684277856,0.9909922736723569,0.9699248120300751,0.9781517481416511,0.9993371933840793,0.9699248120300751,0.003932603502804703,1.0,1.0,1.0,1.0,1.0,1.0
5,0.0030293834725845436,1.0,1.0,1.0,1.0,1.0,1.0,0.001891959096215048,1.0,1.0,1.0,1.0,1.0,1.0
6,0.002841697232572566,1.0,1.0,1.0,1.0,1.0,1.0,0.0013236808845123879,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0014883335187644109,1.0,1.0,1.0,1.0,1.0,1.0,0.0007065810689566522,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0009502633999581836,1.0,1.0,1.0,1.0,1.0,1.0,0.0007617690100632522,1.0,1.0,1.0,1.0,1.0,1.0
