epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.5039651418266011,0.9080597014925373,0.31245074552489244,0.29874025747927135,0.29741403613246414,0.911513312552065,0.29874025747927135,0.11686987794885699,0.9718120805369127,0.41720891793870624,0.4444444444444444,0.4293331447418307,0.961538423369134,0.4444444444444444
2,0.09043624346158398,0.9816417910447761,0.5898023288208522,0.5596030425206626,0.5509430839069637,0.9763921458439303,0.5596030425206626,0.05593130978186859,0.9838926174496644,0.5552731026959639,0.6203703703703703,0.5797785692783897,0.9788871930584903,0.6203703703703703
3,0.04219574586891416,0.9911940298507462,0.7779185158233304,0.7269277648997329,0.7249794945928641,0.9886342643931697,0.7269277648997329,0.02976723299330513,0.9919463087248322,0.7546296296296297,0.787037037037037,0.7687590187590188,0.9903774078270723,0.787037037037037
4,0.022688915313624623,0.9964179104477612,0.8620960554198719,0.8560344041922989,0.8551875674726052,0.9957638983349479,0.8560344041922989,0.006313400033973907,0.9986577181208054,0.925925925925926,0.9444444444444444,0.9333333333333333,0.9981208053691275,0.9444444444444444
5,0.011481415123414638,0.9988059701492538,0.9794010836407996,0.9531210272056954,0.9616803153705755,0.9987250368377586,0.9531210272056954,0.002586541927244589,1.0,1.0,1.0,1.0,1.0,1.0
6,0.012511147363528386,0.997910447761194,0.9768270195320037,0.9538774926446552,0.9640581462239162,0.9978761685537657,0.9538774926446552,0.005137967936000818,0.9986577181208054,0.925925925925926,0.9444444444444444,0.9333333333333333,0.9981208053691275,0.9444444444444444
7,0.012883142583183389,0.9970149253731343,0.9354654203044199,0.9237257630179747,0.9277197501794178,0.9969260507437231,0.9237257630179747,0.00658830970685129,0.9986577181208054,0.9814814814814814,0.9814814814814814,0.9777777777777779,0.9986577181208054,0.9814814814814814
8,0.016974848552342894,0.9956716417910447,0.9019651121156056,0.8738358164845581,0.8854667407607405,0.9954408756408246,0.8738358164845581,0.01584068846641946,0.9946308724832215,0.9017094017094016,0.9037037037037037,0.885571736785329,0.9947045025086335,0.9037037037037037
