epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.23627424448274872,0.971088652935909,0.7039544918725665,0.6942985456769645,0.6848795045226224,0.9724465863360161,0.6942985456769645,0.012478705637062652,1.0,1.0,1.0,1.0,1.0,1.0
2,0.00933382239726951,0.9997441473711143,0.9998914317091496,0.982456140350877,0.989419363984994,0.9997186281235949,0.982456140350877,0.0025753441338520603,1.0,1.0,1.0,1.0,1.0,1.0
3,0.0029940097895686194,1.0,1.0,1.0,1.0,1.0,1.0,0.0012822601337615996,1.0,1.0,1.0,1.0,1.0,1.0
4,0.001657390771620762,1.0,1.0,1.0,1.0,1.0,1.0,0.0008072737744774656,1.0,1.0,1.0,1.0,1.0,1.0
5,0.001184405118863931,1.0,1.0,1.0,1.0,1.0,1.0,0.0006478229280126092,1.0,1.0,1.0,1.0,1.0,1.0
6,0.002127908974899284,0.9996162210566714,0.9969674551009624,0.9996678262821233,0.9982753979491875,0.9996178931169343,0.9996678262821233,0.0007619236177155025,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0008956081102506514,1.0,1.0,1.0,1.0,1.0,1.0,0.000376556435353696,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0006424392784056996,1.0,1.0,1.0,1.0,1.0,1.0,0.0002794264973089275,1.0,1.0,1.0,1.0,1.0,1.0
