epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.8953945864628133,0.8295964125560538,0.2394691688276005,0.22607906784754003,0.2195803119161179,0.8208960896246846,0.22607906784754003,0.3468423062357409,0.9356321839080459,0.264364004075699,0.29411764705882354,0.27717331309040255,0.9071226879676769,0.29411764705882354
2,0.17492001185762768,0.9572173069930917,0.34924581970458257,0.32537433098085117,0.3248315891278784,0.9406492969117334,0.32537433098085117,0.3915771298024846,0.9402298850574713,0.3032917430034379,0.30980392156862746,0.30245383658064473,0.9183711178068115,0.30980392156862746
3,0.09723787324498775,0.9740637498485032,0.4833192919054692,0.4566257736578873,0.43868375101828094,0.9652713289820991,0.4566257736578873,0.39057416456869276,0.9425287356321839,0.32612218850246305,0.31176470588235294,0.3063379056352768,0.920095499386336,0.31176470588235294
4,0.058404773394276396,0.9836383468670464,0.6646006646541787,0.589581364769917,0.571930683338386,0.9787539806071905,0.589581364769917,0.43334869591669106,0.9402298850574713,0.3123218433378861,0.3102941176470588,0.3043684881249596,0.9190129309631607,0.3102941176470588
5,0.031497505865381595,0.9941825233305054,0.8867543664474988,0.8131315389362691,0.8267625394613405,0.9931582946715735,0.8131315389362691,0.46574177440555614,0.9425287356321839,0.3124923463216883,0.31176470588235294,0.3051088116141364,0.9201702182565866,0.31176470588235294
6,0.017009716865870394,0.9975760513877105,0.9184667962505793,0.907695084673493,0.9117484131738695,0.9971187799493396,0.907695084673493,0.480844075926419,0.9379310344827586,0.306343842381406,0.3044117647058823,0.29654780839044387,0.9154015189010445,0.3044117647058823
7,0.009661520604015303,0.9989092231244697,0.9873927018912741,0.9466067651397997,0.949575999650223,0.9986438656574701,0.9466067651397997,0.49373309345080935,0.9425287356321839,0.3124923463216883,0.31176470588235294,0.3051088116141364,0.9201702182565866,0.31176470588235294
8,0.005004472359023883,0.9995152102775421,0.9927483254596668,0.9699248120300753,0.9752239502607903,0.9994225393858347,0.9699248120300753,0.5224140532400416,0.9402298850574713,0.3123218433378861,0.3102941176470588,0.3043684881249596,0.9190129309631607,0.3102941176470588
9,0.0034702924315986624,0.9998788025693855,0.9999851197119177,0.9972299168975068,0.9985700836973654,0.9998771733338805,0.9972299168975068,0.5513337531309018,0.9402298850574713,0.3123218433378861,0.3102941176470588,0.3043684881249596,0.9190129309631607,0.3102941176470588
10,0.002496257547584637,1.0,1.0,1.0,1.0,1.0,1.0,0.5638885160287221,0.9379310344827586,0.306343842381406,0.3044117647058823,0.29654780839044387,0.9154015189010445,0.3044117647058823
11,0.002024955686902822,1.0,1.0,1.0,1.0,1.0,1.0,0.5627177757778387,0.9402298850574713,0.3123218433378861,0.3102941176470588,0.3043684881249596,0.9190129309631607,0.3102941176470588
12,0.001954244191577962,0.9998788025693855,0.9999761740249219,0.994736842105263,0.9972180012128912,0.9998756268827451,0.994736842105263,0.5691809779611127,0.9402298850574713,0.3123218433378861,0.3102941176470588,0.3043684881249596,0.9190129309631607,0.3102941176470588
