epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.6596124106912471,0.8750746268656716,0.25455397355873227,0.25801984628190655,0.2548362072923582,0.8706682380796424,0.25801984628190655,0.1325799581988546,0.9583892617449664,0.30350615167449896,0.3333333333333333,0.31653714900529295,0.9390385367018217,0.3333333333333333
2,0.11150571464602627,0.9722388059701492,0.47814283071013886,0.43711703913935035,0.4247942524177793,0.9633128507213173,0.43711703913935035,0.06951324823218705,0.9865771812080537,0.6572867063492064,0.6712962962962963,0.6554718273151681,0.9828387330446523,0.6712962962962963
3,0.04588354828753578,0.9913432835820896,0.8280951895391271,0.7301340761323599,0.7444309660615712,0.9890476221011697,0.7301340761323599,0.019182096631109914,0.9986577181208054,0.9433760683760684,0.9444444444444444,0.9439050701186624,0.9979930931126604,0.9444444444444444
4,0.014291138241706944,0.9983582089552239,0.9852376777514662,0.9242424242424243,0.9379181028939738,0.9980526014474355,0.9242424242424243,0.0042637849986028155,1.0,1.0,1.0,1.0,1.0,1.0
5,0.005374425465185473,0.9998507462686567,0.9999706624420583,0.9912280701754387,0.9952006381363857,0.9998439828129546,0.9912280701754387,0.0021843931417374705,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0027884395384410424,1.0,1.0,1.0,1.0,1.0,1.0,0.0011651772625225552,1.0,1.0,1.0,1.0,1.0,1.0
7,0.001892650230898897,1.0,1.0,1.0,1.0,1.0,1.0,0.0009114013782439866,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0013473129099401742,1.0,1.0,1.0,1.0,1.0,1.0,0.0006471860090476904,1.0,1.0,1.0,1.0,1.0,1.0
