model_family,status,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_balanced_accuracy,cv_mean_val_accuracy,cv_mean_val_macro_precision,cv_mean_val_macro_recall,cv_mean_val_macro_f1,cv_mean_val_weighted_f1,cv_mean_val_balanced_accuracy,cv_std_val_accuracy,cv_std_val_macro_precision,cv_std_val_macro_recall,cv_std_val_macro_f1,cv_std_val_weighted_f1,cv_std_val_balanced_accuracy,epochs_last_run,temporal_pair_count,temporal_pairs,removed_classes
hybrid_tcn_lstm,completed,0.935132957292506,0.25007550705022163,0.2640405940435781,0.2528612126105595,0.8911264876191354,0.935132957292506,0.9099844479431124,0.2640405940435781,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
ft_transformer_gru_attention,completed,0.9339242546333602,0.2950842425970465,0.26993502693846105,0.2649494433850751,0.8974297412003709,0.9339242546333602,0.9112161164746777,0.26993502693846105,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
xgboost_temporal_gru,completed,0.9323126510878323,0.2945104340490708,0.26955722204351645,0.2654747021373321,0.8972169690689472,0.9323126510878323,0.9108879299673773,0.26955722204351645,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
deepfm_temporal_tcn,completed,0.9339242546333602,0.27131422467679234,0.26546142553406904,0.2564974264586308,0.8920539965941794,0.9339242546333602,0.9093347921652374,0.26546142553406904,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
