model_family,status,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_balanced_accuracy,cv_mean_val_accuracy,cv_mean_val_macro_precision,cv_mean_val_macro_recall,cv_mean_val_macro_f1,cv_mean_val_weighted_f1,cv_mean_val_balanced_accuracy,cv_std_val_accuracy,cv_std_val_macro_precision,cv_std_val_macro_recall,cv_std_val_macro_f1,cv_std_val_weighted_f1,cv_std_val_balanced_accuracy,epochs_last_run,temporal_pair_count,temporal_pairs,removed_classes
hybrid_tcn_lstm,completed,0.935132957292506,0.3001278925366085,0.26596702617559714,0.25647316659429975,0.9094263767948102,0.26596702617559714,,,,,,,,,,,,,12,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
ft_transformer_gru_attention,completed,0.9327155519742143,0.292532761038685,0.2723839071634682,0.26902696546098936,0.912330570710377,0.2723839071634682,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
xgboost_temporal_gru,completed,0.9313053988718775,0.2800629063830725,0.2714932227279862,0.26786741239190137,0.9115005690974884,0.2714932227279862,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
deepfm_temporal_tcn,completed,0.9327155519742143,0.2934874077387876,0.27577921730582516,0.273653580320545,0.9128022280405315,0.27577921730582516,,,,,,,,,,,,,10,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
