epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.5841790827473645,0.8865010073875084,0.2682259671211486,0.2686062050047727,0.26625169694267387,0.8828459246741581,0.2686062050047727,0.11759793270690684,0.9647532729103726,0.39057672552851835,0.3634085213032581,0.3623221257748309,0.9513498934991352,0.3634085213032581
2,0.08546504500660422,0.9789567942690844,0.642630237677257,0.5257359210828726,0.5342315098732761,0.9727445513212872,0.5257359210828726,0.0374672354226191,0.9889224572004028,0.6151629072681704,0.6842105263157895,0.6407363444649754,0.9846095418452301,0.6842105263157895
3,0.029738855487167693,0.994179538840385,0.8797431139983672,0.7987856104063611,0.8082529116376987,0.9930066485378982,0.7987856104063611,0.012058992895709438,0.9959718026183283,0.8155923516656811,0.8421052631578947,0.8244626575820413,0.9947978564145389,0.8421052631578947
4,0.01047977488744401,0.9985448847100963,0.9212822594165978,0.9218045112781954,0.9208114836793674,0.9982043051183491,0.9218045112781954,0.004136825414737433,0.998992950654582,0.9298245614035087,0.9473684210526315,0.9368421052631579,0.9985901309164149,0.9473684210526315
5,0.004595414376123374,0.9995522722184912,0.9949916472839997,0.9804489421227487,0.9863532823846861,0.9995338882746645,0.9804489421227487,0.0028694859266933897,0.998992950654582,0.9298245614035087,0.9473684210526315,0.9368421052631579,0.9985901309164149,0.9473684210526315
6,0.002404101349735303,0.9997761361092455,0.9975216561903867,0.9924674574919933,0.9946775183254635,0.9997731710207671,0.9924674574919933,0.0010835300547878323,1.0,1.0,1.0,1.0,1.0,1.0
7,0.001661602063269217,0.9998880680546228,0.9999862580733819,0.9967105263157895,0.9982953352703112,0.9998862700078818,0.9967105263157895,0.000673807642455677,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0008902851018269896,1.0,1.0,1.0,1.0,1.0,1.0,0.0009608657018648234,1.0,1.0,1.0,1.0,1.0,1.0
