epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.2095547780479618,0.9741437206178644,0.7253661607152591,0.7079370515747944,0.7076954867845192,0.9753468209824552,0.7079370515747944,0.48336940190463146,0.9284994964753273,0.24175014602289918,0.25916042569130393,0.24869652826879138,0.9054970007704756,0.25916042569130393
2,0.006910204348653281,1.0,1.0,1.0,1.0,1.0,1.0,0.5598840936493177,0.9295065458207452,0.24267392984141986,0.25993441949935353,0.24922034217577083,0.9060789170208631,0.25993441949935353
3,0.0025407065987046572,1.0,1.0,1.0,1.0,1.0,1.0,0.604526574518025,0.9295065458207452,0.24267392984141986,0.25993441949935353,0.24922034217577083,0.9060789170208631,0.25993441949935353
4,0.0014080538357527127,1.0,1.0,1.0,1.0,1.0,1.0,0.6177838403292653,0.9284994964753273,0.24175014602289918,0.25916042569130393,0.24869652826879138,0.9054970007704756,0.25916042569130393
5,0.0009501261737940694,1.0,1.0,1.0,1.0,1.0,1.0,0.6379454870598554,0.9284994964753273,0.24175014602289918,0.25916042569130393,0.24869652826879138,0.9054970007704756,0.25916042569130393
6,0.0006305690633293799,1.0,1.0,1.0,1.0,1.0,1.0,0.6730252080573537,0.9284994964753273,0.24175014602289918,0.25916042569130393,0.24869652826879138,0.9054970007704756,0.25916042569130393
7,0.0004853214816567043,1.0,1.0,1.0,1.0,1.0,1.0,0.692400581647022,0.9284994964753273,0.24175014602289918,0.25916042569130393,0.24869652826879138,0.9054970007704756,0.25916042569130393
8,0.00040649028377822105,1.0,1.0,1.0,1.0,1.0,1.0,0.6983025835720074,0.9284994964753273,0.24175014602289918,0.25916042569130393,0.24869652826879138,0.9054970007704756,0.25916042569130393
9,0.0003452113786708536,1.0,1.0,1.0,1.0,1.0,1.0,0.7203242205541059,0.9284994964753273,0.24175014602289918,0.25916042569130393,0.24869652826879138,0.9054970007704756,0.25916042569130393
10,0.00031380334801711093,1.0,1.0,1.0,1.0,1.0,1.0,0.7237556918270038,0.9284994964753273,0.24175014602289918,0.25916042569130393,0.24869652826879138,0.9054970007704756,0.25916042569130393
