epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.44876383734941616,0.9153794492948287,0.34000874868623593,0.2902720444998477,0.2960069212750781,0.9083462469466055,0.2902720444998477,0.3655245079914969,0.9335347432024169,0.30655009638197445,0.27530725208743784,0.2736007353656578,0.9131955786597201,0.27530725208743784
2,0.09771448832221258,0.9741437206178644,0.48796517572789755,0.47103317824546526,0.4582489971454423,0.9677492012588943,0.47103317824546526,0.4648950551931952,0.9335347432024169,0.3028694588189098,0.27645651562060225,0.27480262851130877,0.9108707918564495,0.27645651562060225
3,0.05954931156831965,0.982986344302664,0.6546371138896572,0.5969557590252436,0.5938172703639993,0.9800864402255293,0.5969557590252436,0.47961334132355865,0.9355488418932527,0.258269483703817,0.2656206023079088,0.2554591455657827,0.910797013964102,0.2656206023079088
4,0.04106330164489909,0.9873516901723752,0.7504454887429965,0.6928574782473563,0.6973632201071018,0.9861414471736126,0.6928574782473563,0.5893963268036089,0.9274924471299094,0.2464978653472131,0.26104700253307067,0.2530858151576001,0.9074450994127624,0.26104700253307067
5,0.03298248297997521,0.9897022610252966,0.7213815583582329,0.7264910891311949,0.7221675753097668,0.9888139156176508,0.7264910891311949,0.6158057333599525,0.9345417925478349,0.30743536075323274,0.27723050942865185,0.2757061292023724,0.9116051600888353,0.27723050942865185
6,0.026700667091333608,0.9923886277143497,0.8147594495313691,0.7746412993040349,0.780047971895551,0.9916447244887997,0.7746412993040349,0.6303566997985225,0.9274924471299094,0.2502575487849251,0.2596242766521404,0.25232102253065725,0.9072729112843435,0.2596242766521404
7,0.02227305565328044,0.9935079471681217,0.8551022966782149,0.8300815023190713,0.8387453320247747,0.9930805847725246,0.8300815023190713,0.6589858100711099,0.932527693856999,0.25189325742459184,0.26387475161306023,0.2540344879827085,0.9090413696523064,0.26387475161306023
8,0.019106371699241727,0.9942914707857623,0.8915019815143955,0.8434978695992283,0.8512480895838818,0.9939227547040457,0.8434978695992283,0.6331891131410066,0.9295065458207452,0.24608473315941096,0.26097663945961164,0.2518741539785274,0.9073803453924235,0.26097663945961164
9,0.006941066583056017,0.9984329527647191,0.958386887450355,0.9447805353041046,0.9471244013110808,0.9983077143624549,0.9447805353041046,0.6623036651782999,0.9305135951661632,0.2987163121067794,0.2741345341964537,0.27292678555747474,0.9089916243450923,0.2741345341964537
10,0.0024329707847304772,0.9998880680546228,0.9969040247678018,0.9962406015037595,0.99645578592947,0.9998876911793859,0.9962406015037595,0.662517605386937,0.9315206445115811,0.29986573739413575,0.2749085280045032,0.2735440658436854,0.9096193017927677,0.2749085280045032
