epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.992836866173809,0.8120757918552036,0.2151859158384284,0.21505666540462065,0.21078173293793437,0.8062088038443765,0.21505666540462065,0.3445124621365729,0.938337801608579,0.2657430075329751,0.29411764705882354,0.2781181121104732,0.9106828362247967,0.29411764705882354
2,0.1904671371185402,0.9557409502262444,0.3591418740627093,0.3146868401520619,0.3110352353633937,0.9375345627695415,0.3146868401520619,0.3837525498611358,0.9329758713136729,0.2843515320238525,0.2997737556561086,0.29147011958012775,0.9136361533872291,0.2997737556561086
3,0.11226458070437294,0.9707296380090498,0.43130465958753206,0.42090468266931774,0.40918419717812976,0.9602161496444264,0.42090468266931774,0.41901439636066834,0.935656836461126,0.2910911244125321,0.30712669683257915,0.29868300473418935,0.9169554435697902,0.30712669683257915
4,0.07089133391670917,0.9807692307692307,0.6705000466979977,0.5415908739660253,0.5223565077317209,0.9747760489150503,0.5415908739660253,0.4375451355773067,0.938337801608579,0.2920546132563455,0.3042986425339367,0.29634644676882815,0.917434746092173,0.3042986425339367
5,0.04401409799629207,0.9913744343891403,0.8720173355240849,0.7365221413951356,0.7470549528454958,0.9895190469285899,0.7365221413951356,0.46475669661731567,0.935656836461126,0.28765866132718676,0.30203619909502266,0.29384370059147963,0.915529627017686,0.30203619909502266
6,0.024348248809795168,0.9961821266968326,0.891990406331008,0.8534773760087431,0.8635179249665124,0.9954456938717743,0.8534773760087431,0.49289752291290756,0.9329758713136729,0.2843515320238525,0.2997737556561086,0.29147011958012775,0.9136361533872291,0.2997737556561086
7,0.012403758742100647,0.9985859728506787,0.9284745579730325,0.9288551146136287,0.9272904400814874,0.9981710720228867,0.9288551146136287,0.5103258341151332,0.935656836461126,0.28765866132718676,0.30203619909502266,0.29384370059147963,0.915529627017686,0.30203619909502266
8,0.00947400205873998,0.9994343891402715,0.9906732759993631,0.973575242453961,0.9775871784523146,0.9993700820052813,0.973575242453961,0.5283351471852361,0.935656836461126,0.28765866132718676,0.30203619909502266,0.29384370059147963,0.915529627017686,0.30203619909502266
9,0.007744841354507194,0.9991515837104072,0.9886832822467468,0.9600186236341843,0.9651479513009749,0.999020648428175,0.9600186236341843,0.5286437165161879,0.935656836461126,0.28765866132718676,0.30203619909502266,0.29384370059147963,0.915529627017686,0.30203619909502266
10,0.005771077600438401,0.9998585972850679,0.9999721967358969,0.9941520467836258,0.996890119462928,0.9998544570610421,0.9941520467836258,0.5353003377569265,0.9329758713136729,0.287636695856906,0.301447963800905,0.2935482477247346,0.9141830589923063,0.301447963800905
11,0.0044758969336343565,1.0,1.0,1.0,1.0,1.0,1.0,0.5477827902453835,0.935656836461126,0.28765866132718676,0.30203619909502266,0.29384370059147963,0.915529627017686,0.30203619909502266
