epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.3272682098401889,0.9598782016836827,0.6598875821178053,0.5879746640373075,0.5930159274702613,0.9614217664184004,0.5879746640373075,0.05024670026056625,0.9967793880837359,0.894110275689223,0.8947368421052632,0.8944216829498897,0.9951787246762513,0.8947368421052632
2,0.01733289133559178,0.99964176965789,0.999929636926541,0.982456140350877,0.9894384791409964,0.9996060664331581,0.982456140350877,0.007563368761507066,1.0,1.0,1.0,1.0,1.0,1.0
3,0.005730214529656929,1.0,1.0,1.0,1.0,1.0,1.0,0.0038876412335135365,1.0,1.0,1.0,1.0,1.0,1.0
4,0.00286988630153862,1.0,1.0,1.0,1.0,1.0,1.0,0.0025413800242781374,1.0,1.0,1.0,1.0,1.0,1.0
5,0.001965317224238629,1.0,1.0,1.0,1.0,1.0,1.0,0.0021115563273348885,1.0,1.0,1.0,1.0,1.0,1.0
6,0.001488244644937209,1.0,1.0,1.0,1.0,1.0,1.0,0.0012161089831006363,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0010050350377324802,1.0,1.0,1.0,1.0,1.0,1.0,0.0013440504691514055,1.0,1.0,1.0,1.0,1.0,1.0
8,0.000860202461751333,1.0,1.0,1.0,1.0,1.0,1.0,0.0014223362903685074,1.0,1.0,1.0,1.0,1.0,1.0
